Datetime (UTC),Country,Zone Name,Zone Id,Carbon Intensity gCO₂eq/kWh (direct),Carbon Intensity gCO₂eq/kWh (LCA),Low Carbon Percentage,Renewable Percentage,Data Source,Data Estimated,Data Estimation Method
2023-01-01 00:00:00,Denmark,Denmark,DK,105.46,152.55,86.01,83.86,entsoe.eu,false,
2023-01-01 01:00:00,Denmark,Denmark,DK,110.51,159.72,85.34,83.15,entsoe.eu,false,
2023-01-01 02:00:00,Denmark,Denmark,DK,118.77,170.46,84.39,81.85,entsoe.eu,false,
2023-01-01 03:00:00,Denmark,Denmark,DK,120.33,172.7,84.12,81.65,entsoe.eu,false,
2023-01-01 04:00:00,Denmark,Denmark,DK,121.83,174.73,83.88,81.22,entsoe.eu,false,
2023-01-01 05:00:00,Denmark,Denmark,DK,122.67,173.2,83.57,80.91,entsoe.eu,false,
2023-01-01 06:00:00,Denmark,Denmark,DK,117.75,164.39,84.48,81.94,entsoe.eu,false,
2023-01-01 07:00:00,Denmark,Denmark,DK,106.34,150.09,85.69,83.4,entsoe.eu,false,
2023-01-01 08:00:00,Denmark,Denmark,DK,94.2,136.16,87.86,85.96,entsoe.eu,false,
2023-01-01 09:00:00,Denmark,Denmark,DK,86.57,126.54,89.32,87.56,entsoe.eu,false,
2023-01-01 10:00:00,Denmark,Denmark,DK,85.87,126.32,89.44,87.66,entsoe.eu,false,
2023-01-01 11:00:00,Denmark,Denmark,DK,81.26,120.82,89.98,88.39,entsoe.eu,false,
2023-01-01 12:00:00,Denmark,Denmark,DK,97.38,138.97,88.11,86.32,entsoe.eu,false,
2023-01-01 13:00:00,Denmark,Denmark,DK,81.5,118.12,89.9,88.48,entsoe.eu,false,
2023-01-01 14:00:00,Denmark,Denmark,DK,81.46,118.86,89.78,88.58,entsoe.eu,false,
2023-01-01 15:00:00,Denmark,Denmark,DK,87.21,124.35,89.13,86.54,entsoe.eu,false,
2023-01-01 16:00:00,Denmark,Denmark,DK,94.38,134.31,88.08,84.5,entsoe.eu,false,
2023-01-01 17:00:00,Denmark,Denmark,DK,100.81,143.99,87.37,83.62,entsoe.eu,false,
2023-01-01 18:00:00,Denmark,Denmark,DK,95.15,137.9,88.31,83.89,entsoe.eu,false,
2023-01-01 19:00:00,Denmark,Denmark,DK,98.77,140.1,87.76,82.63,entsoe.eu,false,
2023-01-01 20:00:00,Denmark,Denmark,DK,96.19,139.78,88.02,83.09,entsoe.eu,false,
2023-01-01 21:00:00,Denmark,Denmark,DK,97.38,141.64,87.91,82.35,entsoe.eu,false,
2023-01-01 22:00:00,Denmark,Denmark,DK,103.6,150.15,87.06,80.18,entsoe.eu,false,
2023-01-01 23:00:00,Denmark,Denmark,DK,111.2,161.02,85.83,77.45,entsoe.eu,false,
2023-01-02 00:00:00,Denmark,Denmark,DK,132.52,185.71,83.51,74.31,entsoe.eu,false,
